customer_ID,day,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,total_shopping_pts,cost_mean,cost_min,cost_max,cost_std,unique_cost_count,cost_change_amount,A_nunique,B_nunique,C_nunique,D_nunique,E_nunique,F_nunique,G_nunique,A_n_changes,B_n_changes,C_n_changes,D_n_changes,E_n_changes,F_n_changes,G_n_changes,hour
10000054,2,FL,10055,2,1,7,f,1.0,75,75,1,1.0,3.0,1,0,1,1,0,2,2,645,2,650.0,645,655,7.0710678118654755,2,-10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,14
10000055,3,CO,10056,1,1,9,e,4.0,75,75,0,4.0,15.0,1,1,4,3,0,2,2,638,6,637.5,635,638,1.2247448713915914,2,3,1,1,2,1,1,1,1,0,0,1,0,0,0,0,14
10000057,2,CT,10058,1,1,8,e,,56,56,0,2.0,15.0,1,0,3,3,1,0,2,629,7,626.1428571428571,617,629,5.014265364224067,3,12,1,1,1,1,1,1,2,0,0,0,0,0,0,1,9
10000059,2,NY,10060,1,0,5,e,3.0,42,42,0,3.0,2.0,2,1,3,3,1,0,1,719,6,715.6666666666666,713,723,4.3204937989385765,3,6,1,1,1,2,1,1,2,0,0,0,1,0,0,1,14
10000060,3,CO,10061,1,0,11,f,,41,41,0,1.0,0.0,0,0,2,2,0,0,2,658,8,603.625,582,658,25.309159832530465,5,76,1,1,2,2,1,1,2,0,0,1,1,0,0,2,15
10000061,3,NV,10062,1,1,14,f,,43,43,0,1.0,10.0,2,1,1,1,1,2,3,649,5,630.4,586,649,25.195237645237636,3,63,2,2,1,1,2,2,1,1,1,0,0,1,1,0,18
10000062,2,FL,10063,1,1,2,f,1.0,43,43,0,3.0,3.0,1,1,1,2,1,1,3,645,5,647.4,637,655,7.668115805072325,3,8,1,1,2,1,1,1,1,0,0,2,0,0,0,0,9
10000063,0,CO,10064,1,0,2,g,,21,21,0,3.0,1.0,2,0,3,3,0,3,3,706,6,686.6666666666666,650,706,28.444097220102922,3,56,1,1,1,1,1,1,2,0,0,0,0,0,0,1,11
10000064,2,PA,10065,1,0,13,f,,18,18,0,0.0,0.0,0,0,2,1,0,0,2,735,3,731.0,729,735,3.4641016151377544,2,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,14
10000066,2,AL,10067,1,1,5,f,4.0,68,68,0,3.0,9.0,1,0,3,3,0,2,2,602,2,606.5,602,611,6.363961030678928,2,-9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,14
10000068,0,NY,10069,1,1,6,e,2.0,25,25,0,3.0,9.0,1,0,3,3,0,0,2,592,4,588.0,580,593,5.944184833375674,4,12,1,1,1,1,1,1,1,0,0,0,0,0,0,0,10
10000069,3,AR,10070,2,0,20,f,,51,47,1,4.0,0.0,0,1,2,2,0,2,1,624,5,623.8,623,624,0.4472135954999691,2,0,1,2,1,1,1,1,2,0,1,0,0,0,0,1,17
10000072,0,NM,10073,1,1,2,g,,26,26,0,1.0,2.0,2,0,1,1,0,2,2,662,6,651.5,587,671,31.791508300173493,4,75,2,1,1,1,1,2,2,1,0,0,0,0,1,1,18
10000075,4,MS,10075,1,0,4,h,3.0,23,23,0,1.0,8.0,1,0,1,1,0,2,2,704,4,677.25,605,704,48.31407662369218,3,99,2,1,1,1,1,2,2,1,0,0,0,0,1,1,13
10000076,0,CT,10076,1,0,14,f,,69,27,0,3.0,0.0,2,0,1,1,1,0,2,767,7,697.4285714285714,627,767,41.20621774626232,5,140,3,1,2,2,2,1,2,2,0,2,2,1,0,2,15
10000077,4,KS,10077,1,0,2,e,,32,32,0,3.0,10.0,1,0,3,3,0,1,2,599,8,602.125,590,615,10.57540948210922,5,9,2,1,3,2,2,2,1,1,0,2,1,2,1,0,15
10000078,4,FL,10078,2,1,8,d,1.0,52,46,1,1.0,15.0,0,0,1,2,0,0,3,592,4,608.75,585,667,38.956171954304416,4,-75,1,1,1,1,1,1,2,0,0,0,0,0,0,1,15
10000079,0,NM,10079,1,1,2,e,4.0,38,38,0,3.0,15.0,1,0,3,3,0,1,2,627,6,613.5,542,631,35.064226784573485,3,85,2,1,2,2,1,2,2,1,0,1,1,0,1,1,10
10000080,1,FL,10080,1,1,4,f,3.0,43,43,0,4.0,5.0,1,0,4,3,0,1,4,671,3,660.0,638,671,19.05255888325765,2,33,1,1,2,1,1,1,2,0,0,1,0,0,0,1,7
10000082,5,NY,10082,1,0,1,f,3.0,24,24,0,3.0,2.0,2,0,3,3,0,0,1,725,8,726.5,725,734,3.2071349029490865,3,-9,2,2,1,1,2,1,2,1,1,0,0,1,0,1,11
10000084,4,CT,10084,1,0,1,e,3.0,22,22,0,4.0,1.0,1,0,3,3,0,0,2,836,8,670.25,641,836,67.13259800041791,6,192,1,1,1,1,2,1,2,0,0,0,0,1,0,1,15
10000086,1,MD,10086,1,0,6,d,2.0,37,37,0,3.0,4.0,1,1,3,3,1,2,2,653,7,621.7142857142857,606,653,21.468692598869684,4,40,2,2,2,2,2,2,2,1,1,1,1,1,1,1,9
10000088,1,RI,10088,1,0,9,f,2.0,59,59,0,2.0,4.0,0,0,2,2,0,0,1,545,2,535.0,525,545,14.142135623730951,2,20,1,1,2,2,1,1,1,0,0,1,1,0,0,0,12
10000091,4,FL,10091,1,1,1,e,1.0,51,51,0,1.0,11.0,1,0,1,1,1,1,3,631,9,633.3333333333334,586,702,29.660579899927782,6,-71,2,2,1,1,2,3,2,2,1,0,0,2,3,1,11
10000092,0,NV,10092,1,0,8,g,,39,36,1,1.0,1.0,1,0,1,1,0,2,1,704,9,708.4444444444445,683,738,26.144364168550307,5,-27,1,1,1,1,2,1,2,0,0,0,0,1,0,3,16
10000094,0,NM,10094,2,1,1,g,2.0,60,53,1,4.0,7.0,1,1,4,3,0,1,3,596,8,596.625,590,603,3.7392703642746756,4,-7,1,1,2,1,2,1,2,0,0,1,0,1,0,1,10
10000095,4,UT,10095,1,0,13,Unknown,,23,23,0,0.0,0.0,0,1,1,1,0,0,2,612,2,605.5,599,612,9.192388155425117,2,13,1,2,1,1,1,1,1,0,1,0,0,0,0,0,17
10000096,1,OR,10096,1,0,1,h,4.0,55,55,0,2.0,6.0,1,0,3,3,1,2,1,623,5,625.8,623,630,2.9495762407505186,4,-4,1,2,1,1,1,1,2,0,1,0,0,0,0,1,17
10000097,0,NM,10097,2,1,2,e,,43,37,0,1.0,6.0,1,0,1,2,0,2,2,640,7,630.7142857142857,557,658,33.18992962588846,3,83,2,1,1,2,1,2,2,1,0,0,1,0,1,1,16
10000098,2,ID,10098,1,0,2,f,4.0,28,28,0,3.0,1.0,1,0,3,3,0,2,3,659,2,619.5,580,659,55.86143571373726,2,79,2,1,2,2,1,1,2,1,0,1,1,0,0,1,16
10000100,3,FL,10100,1,0,1,e,1.0,23,23,0,3.0,0.0,1,1,3,3,1,1,3,682,8,680.25,674,690,5.800246300189065,4,8,1,1,1,1,1,2,1,0,0,0,0,0,1,0,8
10000103,0,PA,10103,1,1,1,f,3.0,75,75,0,4.0,6.0,1,0,4,3,1,2,3,585,5,584.4,582,585,1.3416407864998754,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,16
10000104,0,PA,10104,1,1,10,g,2.0,71,71,0,3.0,4.0,1,0,3,3,1,1,3,620,3,612.3333333333334,597,620,13.279056191361384,2,23,2,1,1,2,2,2,2,1,0,0,1,1,1,1,11
10000105,1,ME,10105,1,0,11,g,3.0,50,20,0,3.0,5.0,1,0,3,2,0,1,2,662,7,653.8571428571429,652,662,3.6253078686998563,3,10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,15
10000107,0,PA,10107,1,0,12,e,4.0,41,41,0,3.0,2.0,1,1,1,2,1,2,3,602,6,598.1666666666666,589,609,6.99761864255739,6,-7,1,2,1,1,1,2,2,0,1,0,0,0,1,1,13
10000108,2,TN,10108,1,0,11,g,3.0,21,21,0,3.0,1.0,0,0,2,3,0,0,2,651,8,665.125,651,761,38.75357126400464,3,-110,2,1,2,1,1,2,1,1,0,1,0,0,1,0,8
10000111,4,FL,10111,1,1,10,f,2.0,22,22,0,3.0,8.0,1,1,1,2,0,2,3,632,5,641.4,631,659,11.928956366757317,5,1,1,2,2,2,2,1,1,0,1,2,2,1,0,0,15
10000112,2,TN,10112,1,1,3,f,3.0,41,41,0,0.0,0.0,1,0,4,3,1,1,3,670,6,623.3333333333334,530,670,72.29568912920513,2,140,2,1,2,2,2,2,2,1,0,1,1,1,1,1,11
10000113,1,KS,10113,1,0,15,f,2.0,55,55,0,3.0,15.0,1,0,3,3,1,1,1,598,4,596.25,591,598,3.5000000000000093,2,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,11
10000115,2,CO,10115,2,1,11,g,3.0,37,36,1,2.0,9.0,1,0,3,2,0,0,1,558,5,568.4,556,592,15.962455951387941,4,-34,1,1,1,2,1,2,1,0,0,0,1,0,1,0,15
10000116,4,OH,10116,1,0,14,e,,25,25,0,4.0,6.0,0,0,3,3,0,0,3,594,8,616.625,594,661,24.30130801888185,7,-67,1,1,2,1,1,1,3,0,0,3,0,0,0,2,13
10000117,4,NY,10117,1,1,13,e,1.0,70,70,0,3.0,5.0,1,0,3,2,1,0,2,571,2,567.5,564,571,4.949747468305833,2,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,10
10000118,4,NY,10118,1,0,3,e,2.0,25,25,0,3.0,9.0,1,1,3,3,1,0,2,643,6,615.3333333333334,585,643,28.932104428587074,4,45,2,2,2,1,2,1,2,1,1,2,0,1,0,1,8
10000121,2,WA,10121,1,0,4,f,,39,39,0,1.0,1.0,1,0,1,2,0,2,1,660,7,648.4285714285714,626,667,16.959335117245843,4,34,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13
10000122,4,UT,10122,1,0,6,d,,21,21,0,1.0,4.0,1,1,1,2,1,1,2,680,4,678.25,667,686,8.015609770940687,3,-6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,11
10000123,2,WA,10123,1,1,4,g,3.0,37,37,0,0.0,0.0,1,0,4,3,0,1,1,625,6,620.6666666666666,617,625,4.082482904638636,3,8,1,1,2,1,1,1,3,0,0,1,0,0,0,2,20
10000124,3,AL,10124,4,1,19,d,1.0,61,34,1,3.0,15.0,0,1,3,3,0,0,2,531,3,534.0,531,536,2.6457513110645907,3,-4,1,2,1,1,1,1,2,0,1,0,0,0,0,1,15
10000125,1,FL,10125,1,1,1,f,2.0,52,52,0,3.0,12.0,1,1,1,3,1,2,4,610,10,607.7,594,618,8.407007658957962,4,-8,2,1,2,1,1,1,2,1,0,1,0,0,0,2,10
10000126,5,PA,10126,2,0,8,f,,38,36,1,3.0,4.0,1,1,3,2,1,2,4,647,8,643.5,609,656,14.985707476506688,4,38,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8
10000127,1,FL,10127,1,1,1,e,1.0,71,71,0,3.0,4.0,1,0,3,3,0,2,3,597,6,597.0,597,597,0.0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,11
10000128,1,ME,10128,1,0,18,c,,24,24,0,2.0,5.0,0,1,2,3,0,0,2,573,6,595.0,567,655,39.959979979974975,5,-82,2,1,2,1,2,2,3,1,0,1,0,1,1,2,11
10000129,2,PA,10129,1,1,12,g,4.0,54,54,0,1.0,1.0,1,1,1,2,0,2,1,657,8,663.25,657,671,6.777062153217411,3,-14,1,1,1,2,1,1,1,0,0,0,2,0,0,0,9
10000130,4,OR,10130,2,0,12,d,4.0,40,39,1,2.0,8.0,1,0,2,3,0,2,4,628,6,628.1666666666666,615,637,7.413950813612576,4,13,1,1,1,1,1,2,1,0,0,0,0,0,1,0,13
10000131,3,MS,10131,1,1,8,d,,47,47,0,1.0,15.0,2,1,1,3,1,2,4,644,4,643.0,640,644,2.0000000000000093,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9
10000132,4,WI,10132,1,0,10,e,,21,21,0,2.0,1.0,2,0,3,3,0,2,2,642,2,638.0,634,642,5.656854249492381,2,8,1,1,1,1,1,1,1,0,0,0,0,0,0,0,15
10000133,0,MO,10133,1,0,2,h,4.0,25,25,0,4.0,1.0,1,1,4,3,0,2,2,633,5,631.0,618,653,14.404860290887934,3,15,1,1,1,1,1,1,2,0,0,0,0,0,0,2,12
10000134,1,CT,10134,1,0,7,f,,42,42,0,3.0,1.0,1,0,3,3,1,0,2,653,9,669.6666666666666,633,754,44.07380174207803,7,-101,1,1,1,1,2,1,2,0,0,0,0,1,0,2,13
10000135,2,AR,10135,1,0,7,d,,20,20,0,1.0,1.0,0,1,1,1,0,0,1,631,8,640.5,630,708,27.276363393971728,3,-77,2,1,1,1,2,2,1,1,0,0,0,1,1,0,13
10000136,1,PA,10136,2,0,15,e,,46,41,0,3.0,2.0,0,0,3,3,0,0,3,602,5,612.6,598,659,26.082561223928902,5,-57,2,2,2,1,2,2,2,1,1,1,0,1,1,1,11
10000137,2,MT,10137,2,1,22,e,,43,43,1,2.0,1.0,1,0,2,3,0,2,2,639,8,640.625,632,658,7.689278249614854,5,-19,1,1,1,1,1,2,1,0,0,0,0,0,1,0,11
10000138,1,MD,10138,2,0,2,e,3.0,58,52,1,3.0,5.0,1,1,3,3,0,1,2,603,8,601.625,600,603,1.5059406173077308,3,2,1,1,2,2,2,1,1,0,0,1,1,1,0,0,14
10000139,3,PA,10139,1,0,1,d,3.0,32,32,0,3.0,7.0,2,1,3,3,1,2,4,647,5,644.6,635,647,5.366563145999494,2,12,2,1,2,2,1,2,2,1,0,1,1,0,1,1,11
10000141,4,FL,10141,2,1,1,g,3.0,63,62,1,3.0,2.0,1,1,3,3,1,2,4,626,7,630.0,619,643,10.630145812734645,6,-13,1,1,1,1,1,1,2,0,0,0,0,0,0,1,12
10000143,4,MO,10143,1,1,15,d,,44,44,0,1.0,1.0,0,0,2,3,0,0,2,567,6,564.0,557,567,3.949683531626304,3,10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,15
10000144,1,OH,10144,1,1,9,e,3.0,75,75,0,4.0,4.0,2,1,4,3,1,2,3,625,6,624.1666666666666,608,630,8.232051182218601,4,17,1,2,2,1,2,2,2,0,1,1,0,1,1,4,9
10000145,3,PA,10145,1,0,6,f,3.0,62,62,0,1.0,13.0,1,1,1,3,1,2,2,608,5,607.8,593,642,19.879637823662684,4,-34,1,1,2,1,1,2,2,0,0,1,0,0,1,1,11
10000147,0,CT,10147,1,1,6,e,,28,28,0,4.0,2.0,1,0,3,3,1,0,1,668,6,665.8333333333334,655,674,6.242328625334189,4,-6,1,1,2,1,1,1,2,0,0,1,0,0,0,1,13
10000148,0,KY,10148,2,1,12,e,4.0,35,32,1,1.0,3.0,1,1,2,2,1,2,3,625,8,625.0,625,625,0.0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8
10000150,0,NY,10150,1,1,5,f,2.0,74,37,1,2.0,15.0,1,0,2,2,0,0,2,611,7,608.5714285714286,601,611,3.779644730092261,4,10,1,1,1,2,1,1,1,0,0,0,1,0,0,0,10
10000151,4,IN,10151,1,1,14,e,1.0,75,75,0,3.0,15.0,1,1,3,3,0,2,1,596,8,594.125,581,596,5.303300858899105,2,15,1,2,2,2,1,1,1,0,1,1,1,0,0,0,9
10000152,4,IN,10152,1,0,17,d,4.0,25,25,0,1.0,0.0,0,0,1,1,0,0,1,584,5,582.4,577,584,3.049590136395374,3,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,12
10000154,1,RI,10154,1,1,10,f,,45,45,0,1.0,3.0,0,0,3,3,0,0,1,714,7,707.5714285714286,676,726,16.631868434395688,4,38,1,1,2,2,1,1,2,0,0,1,1,0,0,1,11
10000155,0,NY,10155,1,0,3,f,1.0,65,65,0,3.0,15.0,1,0,3,2,0,0,2,590,4,591.5,588,594,3.0,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,10
10000156,3,PA,10156,1,0,7,e,,21,21,0,0.0,0.0,1,0,1,2,0,1,1,705,4,690.75,658,707,22.691775308835282,4,47,2,1,1,2,1,2,2,1,0,0,1,0,1,1,9
10000158,1,MS,10158,1,0,9,g,4.0,22,22,0,1.0,3.0,1,1,2,2,1,2,3,712,7,717.0,712,720,3.214550253664296,4,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,16
10000159,0,NV,10159,1,0,7,d,3.0,22,22,0,1.0,1.0,1,0,1,2,1,2,1,733,7,756.4285714285714,733,770,14.210995072561944,5,-33,1,2,1,2,1,2,2,0,1,0,1,0,1,1,18
10000160,4,WA,10140,1,1,4,f,3.0,45,45,0,4.0,14.0,1,1,4,3,0,1,2,607,8,600.5,536,619,26.44671192092831,4,71,2,2,2,2,2,2,2,1,1,1,1,2,1,1,16
10000161,1,PA,10160,1,0,13,d,3.0,21,21,0,3.0,6.0,0,0,2,2,0,0,2,626,5,666.2,626,696,34.11304735727959,5,-70,2,2,2,2,2,2,2,1,1,1,1,1,1,1,15
10000162,2,NY,10161,1,1,1,g,3.0,33,33,0,3.0,9.0,1,0,3,2,1,0,2,644,4,646.25,644,653,4.5,2,-9,1,1,1,1,1,1,2,0,0,0,0,0,0,1,8
10000163,1,PA,10162,1,1,9,e,,54,54,0,1.0,4.0,1,1,1,3,1,2,2,674,8,666.125,650,674,6.937218462755804,5,5,1,1,1,2,1,1,1,0,0,0,1,0,0,0,15
10000164,0,NY,10163,1,1,6,d,3.0,52,52,0,3.0,6.0,1,1,3,3,1,0,2,704,3,704.0,704,704,0.0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,15
10000165,0,TN,10164,1,1,16,e,,55,55,1,3.0,1.0,2,1,2,3,0,3,1,590,5,595.6,590,618,12.521980673998831,2,-28,2,1,2,1,2,2,2,1,0,1,0,1,1,1,14
10000167,4,IN,10166,1,0,9,g,4.0,23,23,0,1.0,1.0,1,0,2,3,0,2,1,686,6,706.6666666666666,672,757,39.32259740488495,4,-71,1,1,1,1,1,1,2,0,0,0,0,0,0,1,11
10000168,0,OH,10167,1,0,11,g,,38,38,0,3.0,7.0,1,0,2,3,0,2,2,668,7,670.1428571428571,668,677,3.338091841585119,4,-4,1,2,2,1,2,2,1,0,1,1,0,1,1,0,16
10000169,2,WA,10168,1,1,7,f,,67,67,0,3.0,7.0,1,0,3,2,1,1,2,655,7,630.0,571,655,27.513632984395198,5,84,1,1,1,2,2,2,2,0,0,0,1,1,1,1,16
10000170,1,FL,10169,1,1,4,e,2.0,56,56,0,4.0,9.0,1,1,4,3,1,1,3,662,8,659.375,637,666,9.148575220843332,3,25,1,1,1,2,1,1,1,0,0,0,1,0,0,0,14
10000172,0,KS,10171,1,0,13,f,,26,26,0,3.0,10.0,0,1,3,3,0,0,3,577,6,580.0,564,611,16.552945357246855,5,-34,2,1,1,1,1,2,2,1,0,0,0,0,1,2,10
10000173,0,MD,10172,1,0,6,g,2.0,21,21,0,4.0,6.0,1,1,4,3,1,2,3,743,8,745.25,734,754,5.67576300723399,4,9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,10
10000176,1,FL,10175,1,0,18,d,1.0,61,61,0,1.0,13.0,0,0,1,2,0,0,3,629,6,636.8333333333334,629,646,6.306081720582631,6,-17,2,1,2,1,2,2,1,1,0,1,0,1,1,0,10
10000178,2,CT,10177,1,0,8,f,,22,22,0,1.0,2.0,0,0,1,2,0,0,1,644,8,655.25,628,742,35.583904868834814,4,-98,2,1,1,1,2,1,1,1,0,0,0,1,0,0,14
10000179,2,TN,10178,1,0,11,f,4.0,31,31,0,2.0,15.0,1,1,2,3,1,1,1,614,5,614.0,614,614,0.0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9
10000180,1,FL,10037,1,0,9,f,3.0,49,49,0,1.0,8.0,1,1,1,3,1,2,3,680,2,682.0,680,684,2.8284271247461903,2,-4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,12
10000182,3,WY,10180,1,1,5,f,,42,42,0,3.0,3.0,1,0,2,2,0,1,4,618,6,618.0,618,618,0.0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,17
10000183,3,FL,10181,1,0,3,e,3.0,57,57,0,4.0,13.0,1,1,3,3,1,2,3,626,10,636.5,626,668,16.050268256671306,6,-42,1,2,1,1,1,1,2,0,1,0,0,0,0,1,14
10000184,1,FL,10182,1,1,8,d,2.0,64,64,0,3.0,15.0,1,1,3,3,1,1,3,608,4,597.5,585,608,12.233832869001711,3,19,1,1,2,2,1,2,1,0,0,1,1,0,1,0,14
10000187,1,CO,10056,1,0,6,d,,27,27,0,3.0,10.0,1,1,2,3,0,2,2,621,8,627.875,613,636,7.661359446692779,5,-15,1,1,3,1,1,1,1,0,0,2,0,0,0,0,16
10000188,4,AL,10185,2,0,2,h,1.0,64,64,1,3.0,1.0,1,1,3,3,1,2,1,581,6,584.6666666666666,581,589,3.3862466931200674,5,-7,1,1,1,1,1,1,3,0,0,0,0,0,0,2,11
10000189,4,MO,10186,1,0,7,d,,18,18,0,1.0,4.0,1,0,1,2,0,2,2,705,9,701.5555555555555,689,713,8.705043238133744,5,-8,1,2,2,2,2,1,1,0,1,1,1,1,0,0,13
10000190,1,NM,10187,1,1,12,g,3.0,63,63,0,2.0,4.0,1,1,2,2,1,1,4,661,7,657.8571428571429,637,673,12.535663410560181,5,24,2,1,2,2,1,2,2,1,0,1,1,0,1,1,13
